,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Arizona,Arizona,GPE,0.16174731,0.85854839,en,6.20000000,4002920-7,5551752,A,34.50030000,-111.50098000,NORTH-AMERICA,United States,WNA
Labuan,Labuan,GPE,0.01310185,0.44060185,en,6.00000000,4647704-4,1733782,P,5.28028000,115.24750000,ASIA,Malaysia,SEA
Griechenland,Griechenland,GPE,0.00000000,0.00000000,de,5.50000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
USA,USA,GPE,0.00000000,0.18181818,en,5.50000000,4078704-7,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Straßen,Straßen,GPE,0.00000000,0.00000000,de,5.50000000,,2960054,P,49.62056000,6.07333000,EUROPE,Luxembourg,WCE
Behörden,Behörden,GPE,0.00000000,0.00000000,de,5.50000000,,0,,,,,,
Iran,Iran,GPE,-0.02272727,0.08636364,en,5.50000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Brasilien,Brasilien,GPE,0.00000000,0.00000000,de,5.50000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Neubrandenburg,Neubrandenburg,GPE,0.00000000,0.00000000,de,5.50000000,4041712-8,2866135,P,53.56414000,13.27532000,EUROPE,Germany,WCE
und,und,GPE,0.00000000,0.00000000,de,5.50000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Italy,Italy,GPE,0.22641509,0.27044025,en,5.30000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Bengal,Bengal,GPE,0.00352564,0.67339744,en,5.20000000,4029344-0,1275004,P,22.56263000,88.36304000,ASIA,India,SAS
Puducherry,Puducherry,GPE,-0.05675758,0.43821212,en,5.00000000,16023115-2,1259425,P,11.93381000,79.82979000,ASIA,India,SAS
Colorado,Colorado,GPE,-0.03633333,0.53358974,en,5.00000000,4010406-0,5417618,A,39.00027000,-105.50083000,NORTH-AMERICA,United States,WNA
Brisbane,Brisbane,GPE,-0.09895833,0.68055556,en,4.80000000,4212528-5,2174003,P,-27.46794000,153.02809000,OCEANIA,Australia,EAU
Europe,Europe,LOC,0.17173252,0.29027356,en,4.70000000,,12217848,L,50.28762000,15.19030000,EUROPE,Czechia,WCE
Pakistan,Pakistan,GPE,0.00000000,0.00000000,de,4.60000000,4075812-6,1168579,A,30.00000000,70.00000000,ASIA,Pakistan,WCA
Melaka,Melaka,GPE,0.08152174,0.46920290,en,4.60000000,4037200-5,1734759,P,2.19600000,102.24050000,ASIA,Malaysia,SEA
Hessen,Hessen,GPE,0.00000000,0.00000000,de,4.60000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Ireland,Ireland,GPE,0.43478261,0.43478261,en,4.60000000,4027667-3,2963597,A,53.00000000,-8.00000000,EUROPE,Ireland,NEU
Afghanistan,Afghanistan,GPE,0.00000000,0.00000000,de,4.60000000,4000687-6,1149361,A,33.00000000,66.00000000,ASIA,Afghanistan,WCA
Potsdam,Potsdam,GPE,0.00000000,0.00000000,de,4.60000000,4046948-7,2852458,P,52.39886000,13.06566000,EUROPE,Germany,WCE
Kerala,Kerala,GPE,0.00815217,0.18206522,en,4.60000000,4030266-0,1267254,A,10.41667000,76.50000000,ASIA,India,SAS
Süditalien,Süditalien,GPE,0.00000000,0.00000000,de,4.60000000,,0,,,,,,
Strom,Strom,GPE,0.00000000,0.00000000,de,4.60000000,,11971107,L,53.34460000,25.09269000,EUROPE,Belarus,WCE
Wuthering Heights,Wuthering Heights,GPE,0.00000000,0.00000000,en,4.60000000,,4743259,L,30.10577000,-94.14101000,NORTH-AMERICA,United States,CNA
Lucknow,Lucknow,GPE,0.08559783,0.31929348,en,4.60000000,4111406-1,1264733,P,26.83928000,80.92313000,ASIA,India,SAS
North Texas,North Texas,GPE,0.03913043,0.75434783,en,4.60000000,,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
Chennai,Chennai,GPE,0.23405797,0.89855072,en,4.60000000,5351481-6,1264527,P,13.08784000,80.27847000,ASIA,India,SAS
KL,KL,GPE,-0.18478261,0.51086957,en,4.60000000,4110404-3,1735161,P,3.14120000,101.68653000,ASIA,Malaysia,SEA
Cottbus,Cottbus,GPE,0.00000000,0.00000000,de,4.60000000,4070126-8,2939811,P,51.75769000,14.32888000,EUROPE,Germany,WCE
Delhi-NCR,Delhi-NCR,GPE,0.04347826,0.18478261,en,4.60000000,,9972750,L,28.66047000,77.07733000,ASIA,India,SAS
Ukraine,Ukraine,GPE,0.00000000,0.43478261,de,4.60000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Johor,Johor,GPE,0.01951058,0.52546296,en,4.20000000,4096604-5,1732752,P,1.46550000,103.75780000,ASIA,Malaysia,SEA
Hollywood,Hollywood,GPE,0.03073593,0.82328644,en,4.20000000,4408912-0,4158928,P,26.01120000,-80.14949000,NORTH-AMERICA,United States,ENA
Maharashtra,Maharashtra,GPE,0.00357143,0.21160714,en,4.00000000,4037057-4,8659036,L,19.28911000,76.95374000,ASIA,India,SAS
Plains,Plains,LOC,0.20000000,0.79166667,en,4.00000000,,12212750,L,42.58598000,-100.51728000,NORTH-AMERICA,United States,CNA
the United States,the United States,GPE,-0.09539474,0.78947368,en,3.80000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Mars,Mars,LOC,-0.00675676,0.14639640,en,3.70000000,,6621751,T,-76.66667000,161.95000000,POLAR,Antarctica,EAN
Wiesbaden,Wiesbaden,GPE,0.00000000,0.00000000,de,3.70000000,4066043-6,2809346,P,50.08258000,8.24932000,EUROPE,Germany,WCE
Pennsylvania,Pennsylvania,GPE,-0.04684685,0.37117117,en,3.70000000,4045103-3,12217723,L,40.64575000,-79.91382000,NORTH-AMERICA,United States,ENA
Kolkata,Kolkata,GPE,0.10810811,0.45945946,en,3.70000000,4029344-0,1275004,P,22.56263000,88.36304000,ASIA,India,SAS
Kanpur,Kanpur,GPE,0.10135135,0.68288288,en,3.70000000,4029504-7,1267995,P,26.46523000,80.34975000,ASIA,India,SAS
Peninsular Malaysia,Peninsular Malaysia,GPE,0.19069069,0.52402402,en,3.70000000,270507-2,1745185,L,4.00000000,102.00000000,ASIA,Malaysia,SEA
West Bengal,West Bengal,LOC,-0.01212999,0.72522523,en,3.70000000,4029344-0,1275004,P,22.56263000,88.36304000,ASIA,India,SAS
Wege,Wege,GPE,0.00000000,0.00000000,de,3.70000000,7837836-9,2396713,H,-0.64950000,9.10882000,AFRICA,Gabon,CAF
Stadt,Stadt,GPE,0.00000000,0.00000000,de,3.70000000,,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
KUALA LUMPUR,KUALA LUMPUR,GPE,0.15728228,0.56944444,en,3.70000000,4110404-3,1735161,P,3.14120000,101.68653000,ASIA,Malaysia,SEA
the Federal Territories of Kuala Lumpur,the Federal Territories of Kuala Lumpur,GPE,0.19939940,0.68048048,en,3.70000000,,0,,,,,,
Ghaziabad,Ghaziabad,GPE,0.25675676,0.48648649,en,3.70000000,4363209-9,1271308,P,28.66535000,77.43915000,ASIA,India,SAS
Kalifornien,Kalifornien,GPE,0.00000000,0.00000000,de,3.70000000,4029307-5,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Koalitionsverhandlungen,Koalitionsverhandlungen,GPE,0.05405405,0.16216216,de,3.70000000,,0,,,,,,
Idaho,Idaho,GPE,-0.09909910,0.53603604,en,3.70000000,4026462-2,5596512,A,44.50020000,-114.25118000,NORTH-AMERICA,United States,WNA
Chicago,Chicago,GPE,-0.09150059,0.22986623,en,3.70000000,4009921-0,4887398,P,41.85003000,-87.65005000,NORTH-AMERICA,United States,ENA
LOS ANGELES,LOS ANGELES,GPE,0.16018519,1.00956790,en,3.60000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Canada,Canada,GPE,0.11277056,0.63701299,en,3.50000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Michigan,Michigan,GPE,0.09035948,0.39101307,en,3.40000000,4115139-2,5001836,A,44.25029000,-85.50033000,NORTH-AMERICA,United States,ENA
Ohio,Ohio,GPE,-0.21212121,0.42424242,en,3.30000000,4043387-0,5165418,A,40.25034000,-83.00018000,NORTH-AMERICA,United States,ENA
Brasilia,Brasilia,GPE,0.06250000,0.25000000,en,3.20000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Mexico,Mexico,GPE,-0.16145833,0.65208333,en,3.20000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
NZ,NZ,GPE,0.00000000,0.03225806,en,3.10000000,,12217089,L,8.62000000,-170.11000000,PACIFIC,,NPO
Mississippi,Mississippi,GPE,0.01254480,0.30645161,en,3.10000000,4039588-1,4436296,A,32.75041000,-89.75036000,NORTH-AMERICA,United States,ENA
KUALA LUMPUR:,KUALA LUMPUR:,GPE,0.06810036,0.65949821,en,3.10000000,4110404-3,1735161,P,3.14120000,101.68653000,ASIA,Malaysia,SEA
Punjab,Punjab,GPE,-0.06250000,0.18750000,en,3.00000000,4047850-6,1167710,A,30.85000000,72.31667000,ASIA,Pakistan,WCA
Jammu,Jammu,GPE,-0.04885057,0.29406130,en,2.90000000,4387357-1,1269321,P,32.73528000,74.86167000,ASIA,India,WCA
Himachal,Himachal,GPE,-0.01293103,0.28017241,en,2.90000000,4240080-6,1270101,A,31.91667000,77.25000000,ASIA,India,TIB
Greece,Greece,GPE,0.10518128,0.76305465,en,2.80000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Mayo,Mayo,GPE,0.00000000,0.00000000,en,2.80000000,,11789231,A,9.61158000,15.39185000,AFRICA,Chad,CAF
Melendugno,Melendugno,GPE,0.00000000,0.00000000,de,2.80000000,4461353-2,3173630,P,40.27252000,18.33798000,EUROPE-AFRICA,Italy,MED
China,China,GPE,0.07653061,0.56122449,en,2.80000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Northeast Ohio,Northeast Ohio,LOC,0.28571429,0.32142857,en,2.80000000,,12216898,L,41.07429000,-81.49338000,NORTH-AMERICA,United States,ENA
diesem Jahr,diesem Jahr,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Ibiza,Ibiza,GPE,0.00000000,0.00000000,de,2.80000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Fellbach,Fellbach,GPE,0.00000000,0.00000000,de,2.80000000,4016707-0,2927268,P,48.80912000,9.27697000,EUROPE,Germany,WCE
nach,nach,GPE,0.00000000,0.00000000,de,2.80000000,,624832,P,52.84240000,26.67450000,EUROPE,Belarus,WCE
Pittsburgh,Pittsburgh,GPE,0.00000000,0.11904762,en,2.80000000,4115567-1,5206379,P,40.44062000,-79.99589000,NORTH-AMERICA,United States,ENA
Lake Village,Lake Village,GPE,-0.05515186,0.32415997,en,2.80000000,,4922548,P,41.13753000,-87.44864000,NORTH-AMERICA,United States,ENA
Sligo,Sligo,GPE,0.00000000,0.00000000,en,2.80000000,4251772-2,2961423,P,54.26969000,-8.46943000,EUROPE,Ireland,NEU
La Palma,La Palma,GPE,-0.13392857,1.07142857,de,2.80000000,4044423-5,5364022,P,33.84640000,-118.04673000,NORTH-AMERICA,United States,WNA
Aachen,Aachen,GPE,0.00000000,0.00000000,de,2.80000000,4000003-5,3247449,P,50.77664000,6.08342000,EUROPE,Germany,WCE
Hyderabad,Hyderabad,GPE,0.03571429,0.09920635,en,2.80000000,4095856-5,1269843,P,17.38405000,78.45636000,ASIA,India,SAS
Terengganu,Terengganu,GPE,0.15128968,0.63343254,en,2.80000000,4308110-1,1733036,A,5.00000000,103.00000000,ASIA,Malaysia,SEA
Brasília,Brasília,GPE,0.00000000,0.00000000,de,2.80000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Subang,Subang,GPE,0.16369048,0.37202381,en,2.80000000,4398322-4,1771023,P,3.15000000,101.53333000,ASIA,Malaysia,SEA
the Federal Territories,the Federal Territories,LOC,0.22857143,0.70000000,en,2.80000000,,5794245,P,47.32232000,-122.31262000,NORTH-AMERICA,United States,WNA
Brasilien bei Demo,Brasilien bei Demo,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Kuala Lumpur,Kuala Lumpur,GPE,0.13521825,0.62271825,en,2.80000000,4110404-3,1735161,P,3.14120000,101.68653000,ASIA,Malaysia,SEA
Whanganui,Whanganui,LOC,0.15476190,0.40476190,en,2.80000000,4408466-3,2179670,P,-39.93333000,175.05000000,OCEANIA,New Zealand,NZ
UK,UK,GPE,0.16720779,0.44642857,en,2.80000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
North India,North India,GPE,0.00000000,0.00000000,en,2.80000000,,3580678,P,19.30000000,-81.11667000,CENTRAL-AMERICA,Cayman Islands,CAR
Kuba,Kuba,GPE,0.00000000,0.00000000,de,2.80000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
Palm Springs,Palm Springs,GPE,-0.01785714,0.25000000,en,2.80000000,4140870-6,5380668,P,33.83030000,-116.54529000,NORTH-AMERICA,United States,WNA
Lancaster County,Lancaster County,GPE,-0.06190476,0.43095238,en,2.80000000,4224165-0,5197079,P,40.03788000,-76.30551000,NORTH-AMERICA,United States,ENA
Mo.,Mo.,GPE,0.04591837,0.21683673,en,2.80000000,,7729894,L,32.24997000,114.60938000,ASIA,China,EAS
Mecklenburg,Mecklenburg,GPE,0.00000000,0.00000000,de,2.80000000,4053950-7,2834282,P,53.62937000,11.41316000,EUROPE,Germany,WCE
Afrika,Afrika,GPE,0.00000000,0.00000000,de,2.80000000,4000695-5,6255146,L,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
NWS,NWS,GPE,-0.13026524,0.20171099,en,2.80000000,,5317014,P,36.92111000,-109.08566000,NORTH-AMERICA,United States,WNA
den nächsten Tagen,den nächsten Tagen,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Hainichen,Hainichen,GPE,0.00000000,0.00000000,de,2.80000000,4094529-7,2911795,P,50.97044000,13.12287000,EUROPE,Germany,WCE
Freitag,Freitag,GPE,0.00000000,0.00000000,de,2.80000000,,5527669,P,31.45598000,-101.09483000,CENTRAL-AMERICA,United States,NCA
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,GPE,0.00000000,0.00000000,de,2.80000000,4242861-0,2872567,A,53.83333000,12.50000000,EUROPE,Germany,WCE
Louisiana,Louisiana,GPE,0.08214286,0.31071429,en,2.80000000,4036394-6,4331987,A,31.00047000,-92.00040000,NORTH-AMERICA,United States,CNA
Deutsche Stiftung,Deutsche Stiftung,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Tunesien,Tunesien,GPE,0.00000000,0.00000000,de,2.80000000,4061206-5,2464461,A,34.00000000,9.00000000,EUROPE-AFRICA,Tunisia,MED
Insel Oahu,Insel Oahu,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Auckland,Auckland,GPE,0.01884921,0.52579365,en,2.80000000,4086091-7,2187404,P,-36.99282000,174.87986000,OCEANIA,New Zealand,NZ
Stuttgart aus,Stuttgart aus,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Germany,Germany,GPE,0.21428571,0.36607143,en,2.80000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
SYDNEY,SYDNEY,GPE,0.11471861,0.54826840,en,2.80000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
Wuppertal,Wuppertal,GPE,0.00000000,0.00000000,de,2.80000000,4067084-3,2805753,P,51.25627000,7.14816000,EUROPE,Germany,WCE
Umfragen,Umfragen,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Nach dem,Nach dem,GPE,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Alice Springs,Alice Springs,GPE,-0.10615079,0.43353175,en,2.80000000,4206728-5,2077895,P,-23.69748000,133.88362000,OCEANIA,Australia,CAU
Western Australia,Western Australia,LOC,0.03240741,0.24783951,en,2.70000000,4232458-0,2063523,P,-31.95224000,115.86140000,OCEANIA,Australia,SAU
Western Australia's,Western Australia's,LOC,0.06089744,0.30929487,en,2.60000000,,11523932,L,-20.04148000,123.72189000,OCEANIA,Australia,CAU
Adelaide,Adelaide,GPE,0.14423077,0.33653846,en,2.60000000,4079623-1,2078025,P,-34.92866000,138.59863000,OCEANIA,Australia,SAU
Harvest Rock,Harvest Rock,GPE,0.14423077,0.33653846,en,2.60000000,,8109688,S,33.62480000,-112.16752000,CENTRAL-AMERICA,United States,NCA
Georgia,Georgia,GPE,0.00424242,0.42333333,en,2.50000000,4022406-5,614540,A,41.99998000,43.49990000,ASIA,Georgia,WCA
Nepal,Nepal,GPE,0.04166667,0.35000000,en,2.50000000,4041612-4,1282988,A,28.00000000,84.00000000,ASIA,Nepal,TIB
the Bay of Plenty,the Bay of Plenty,LOC,0.12000000,0.19333333,en,2.50000000,,2187094,T,-37.63056000,176.17167000,OCEANIA,New Zealand,NZ
Andhra,Andhra,LOC,0.05111111,0.66444444,en,2.50000000,4001934-2,1278629,A,15.83333000,79.75000000,ASIA,India,SAS
the Southeast Bay,the Southeast Bay,LOC,-0.05933333,0.58733333,en,2.50000000,,1567730,H,8.75123000,104.82056000,ASIA,Vietnam,SEA
Stromversorgung,Stromversorgung,GPE,0.00000000,0.00000000,de,2.50000000,,0,,,,,,
Tennessee,Tennessee,GPE,-0.29166667,0.58333333,en,2.40000000,4119557-7,12217091,L,35.80000000,-86.50000000,NORTH-AMERICA,United States,ENA
Carolina,Carolina,GPE,-0.16666667,0.37500000,en,2.40000000,,4563243,P,18.38078000,-65.95739000,CENTRAL-AMERICA,Puerto Rico,CAR
San Luis Obispo County,San Luis Obispo County,GPE,0.03645833,0.34722222,en,2.40000000,4342348-6,5392323,P,35.28275000,-120.65962000,NORTH-AMERICA,United States,WNA
NSW,NSW,LOC,0.09848485,0.99242424,en,2.20000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
Partei,Partei,GPE,0.00000000,0.00000000,de,2.20000000,,0,,,,,,
San Diego County,San Diego County,GPE,0.04040404,0.49494949,en,2.20000000,4269521-1,5391811,P,32.71571000,-117.16472000,CENTRAL-AMERICA,United States,NCA
Kakinada,Kakinada,GPE,-0.02272727,0.43939394,en,2.20000000,5018457-X,1268561,P,16.96036000,82.23809000,ASIA,India,SAS
Walwa,Walwa,GPE,0.20454545,0.75000000,en,2.20000000,,12681339,A,17.02049000,74.28073000,ASIA,India,SAS
SLO County,SLO County,GPE,0.14285714,0.47619048,en,2.10000000,,2273878,H,5.96278000,-9.66889000,AFRICA,Liberia,WAF
Atmospheric river,Atmospheric river,LOC,0.04442383,0.16697588,en,2.10000000,,0,,,,,,
Ladakh,Ladakh,GPE,-0.09375000,0.28125000,en,2.00000000,4073939-9,1265343,A,34.33333000,77.41667000,ASIA,India,TIB
Kashmir,Kashmir,LOC,-0.03333333,0.13888889,en,2.00000000,4256270-3,1269320,A,33.53290000,75.40781000,ASIA,India,TIB
Qatar,Qatar,GPE,-0.44736842,1.73684211,en,1.90000000,4029924-7,289688,A,25.50000000,51.25000000,ASIA,Qatar,ARP
Unwetterschäden,Unwetterschäden,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Stromausfälle,Stromausfälle,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Schutz,Schutz,GPE,0.00000000,0.00000000,de,1.90000000,,6624909,T,-69.76667000,159.26667000,POLAR,Antarctica,EAN
Neukölln,Neukölln,GPE,0.00000000,0.00000000,de,1.90000000,17558-4,2864695,P,52.47719000,13.43126000,EUROPE,Germany,WCE
Northeast,Northeast,LOC,0.08421053,0.28421053,en,1.90000000,,11887749,L,42.80019000,-74.11805000,NORTH-AMERICA,United States,ENA
Cleveland,Cleveland,GPE,0.00000000,0.00000000,en,1.90000000,4010292-0,5150529,P,41.49950000,-81.69541000,NORTH-AMERICA,United States,ENA
Urlauber,Urlauber,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Nordrhein-Westfalen,Nordrhein-Westfalen,GPE,0.00000000,0.00000000,de,1.90000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Southeast,Southeast,LOC,0.08421053,0.28421053,en,1.90000000,,11497301,L,10.75053000,106.75050000,ASIA,Vietnam,SEA
Mit,Mit,GPE,0.00000000,0.00000000,de,1.90000000,,352181,P,30.71524000,31.25920000,EUROPE-AFRICA,Egypt,MED
Jahreswechsel ein paar,Jahreswechsel ein paar,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Politik,Politik,GPE,-0.36842105,0.35087719,de,1.90000000,,0,,,,,,
Bondi,Bondi,GPE,0.26315789,0.52631579,en,1.90000000,4356819-1,3031815,P,48.90180000,2.48931000,EUROPE,France,WCE
Südwesteuropa,Südwesteuropa,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Frankreich,Frankreich,GPE,0.00000000,0.00000000,de,1.90000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Libanon,Libanon,GPE,0.00000000,0.00000000,de,1.90000000,4035567-6,272103,A,33.83333000,35.83333000,EUROPE-AFRICA,Lebanon,MED
Cuyahoga,Cuyahoga,GPE,0.42105263,0.47368421,en,1.90000000,4010292-0,5150529,P,41.49950000,-81.69541000,NORTH-AMERICA,United States,ENA
Geauga,Geauga,GPE,0.42105263,0.47368421,en,1.90000000,,5155556,A,41.49954000,-81.17865000,NORTH-AMERICA,United States,ENA
Kottayam,Kottayam,GPE,0.19517544,0.49342105,en,1.90000000,4236607-0,1265911,P,9.58692000,76.52132000,ASIA,India,SAS
San Gabriel,San Gabriel,GPE,0.52631579,0.73684211,en,1.90000000,1223628566,5392034,P,34.09611000,-118.10583000,NORTH-AMERICA,United States,WNA
ein Gewitter,ein Gewitter,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Temple City,Temple City,GPE,0.52631579,0.73684211,en,1.90000000,,5401469,P,34.10723000,-118.05785000,NORTH-AMERICA,United States,WNA
the North Island,the North Island,LOC,0.09356725,0.41520468,en,1.90000000,4229389-3,4796512,P,17.72751000,-64.74698000,CENTRAL-AMERICA,U.S. Virgin Islands,CAR
Brandenburg etwa,Brandenburg etwa,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Bord,Bord,LOC,0.00000000,0.00000000,de,1.90000000,,3036755,P,43.50000000,-0.13333000,EUROPE-AFRICA,France,MED
El Monte,El Monte,GPE,0.52631579,0.73684211,en,1.90000000,1162727403,5345743,P,34.06862000,-118.02757000,NORTH-AMERICA,United States,WNA
Amajuba,Amajuba,GPE,0.00000000,0.00000000,en,1.90000000,,8347345,A,-27.73558000,30.13537000,AFRICA,South Africa,ESAF
Monterey Park,Monterey Park,GPE,0.52631579,0.73684211,en,1.90000000,4494788-4,5374406,P,34.06251000,-118.12285000,NORTH-AMERICA,United States,WNA
Nevada,Nevada,GPE,0.16815789,0.69631579,en,1.90000000,4041996-4,5509151,A,39.25021000,-116.75119000,NORTH-AMERICA,United States,WNA
Übergangsregierung,Übergangsregierung,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Athen,Athen,GPE,0.00000000,0.00000000,de,1.90000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
Pasadena,Pasadena,GPE,0.52631579,0.73684211,en,1.90000000,4205363-8,5381396,P,34.14778000,-118.14452000,NORTH-AMERICA,United States,WNA
Los Angeles County,Los Angeles County,GPE,0.00000000,0.00000000,en,1.90000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Einschätzung,Einschätzung,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Überschwemmungen,Überschwemmungen,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Alhambra,Alhambra,GPE,0.52631579,0.73684211,en,1.90000000,,5323060,P,34.09529000,-118.12701000,NORTH-AMERICA,United States,WNA
des Stromausfalls,des Stromausfalls,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Bei einem Fall,Bei einem Fall,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Bay of Plenty,Bay of Plenty,LOC,0.00000000,0.00000000,en,1.90000000,4379727-1,2208032,P,-37.68611000,176.16667000,OCEANIA,New Zealand,NZ
Kansas City,Kansas City,GPE,0.15789474,0.57017544,en,1.90000000,4109999-0,4393217,P,39.09973000,-94.57857000,NORTH-AMERICA,United States,CNA
aktuelle Folge vom Dschungelcamp,aktuelle Folge vom Dschungelcamp,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Tunesien - und,Tunesien - und,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Kankakee County,Kankakee County,GPE,0.06641604,0.10827068,en,1.90000000,279570-X,4898182,P,41.12003000,-87.86115000,NORTH-AMERICA,United States,ENA
Stuttgart lahm,Stuttgart lahm,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Allegheny County,Allegheny County,GPE,0.00000000,0.17543860,en,1.90000000,4115567-1,5206379,P,40.44062000,-79.99589000,NORTH-AMERICA,United States,ENA
KANSAS CITY,KANSAS CITY,GPE,0.06766917,0.31954887,en,1.90000000,4109999-0,4393217,P,39.09973000,-94.57857000,NORTH-AMERICA,United States,CNA
Stuttgart - Ursache,Stuttgart - Ursache,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
PITTSBURGH,PITTSBURGH,GPE,0.00000000,0.17543860,en,1.90000000,4115567-1,5206379,P,40.44062000,-79.99589000,NORTH-AMERICA,United States,ENA
NCR,NCR,GPE,0.18786550,0.51535088,en,1.90000000,,9972750,L,28.66047000,77.07733000,ASIA,India,SAS
Özdemirs,Özdemirs,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Duisburg,Duisburg,GPE,0.00000000,0.00000000,de,1.90000000,4013284-5,2934691,P,51.43247000,6.76516000,EUROPE,Germany,WCE
Südspanien,Südspanien,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Retter,Retter,GPE,0.00000000,0.00000000,de,1.90000000,,6121588,H,51.54968000,-92.40239000,NORTH-AMERICA,Canada,NEN
Rheinland,Rheinland,GPE,0.00000000,0.00000000,de,1.90000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Winter,Winter,GPE,0.00000000,0.00000000,de,1.90000000,4398110-0,4178560,P,28.60000000,-81.33924000,NORTH-AMERICA,United States,ENA
America,America,GPE,0.18128655,0.34941520,en,1.90000000,10107251-X,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Landtagswahl gewinnen,Landtagswahl gewinnen,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Chandigarh,Chandigarh,GPE,0.18421053,0.50000000,en,1.90000000,4329340-2,1274746,P,30.73629000,76.78840000,ASIA,India,TIB
Stadt auf Sizilien,Stadt auf Sizilien,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Baden-Württemberg fordert,Baden-Württemberg fordert,GPE,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
