domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.0014388489208633094,0.038041951501306216,0.022122302158273384,0.10776379567568031,139.0
www.stern.de,0.005931263858093126,0.04419517462404826,0.04761640798226164,0.17649506483846364,82.0
www.tagesspiegel.de,0.0,0.0,0.0,0.0,53.0
www.abc.net.au,0.024803102453102452,0.16266902177137277,0.5026449134199134,0.17279524870149576,50.0
economictimes.indiatimes.com,0.07081685840614411,0.11384436714360766,0.49520379367105555,0.14065134842481358,42.0
www.thestar.com.my,0.16503807378807375,0.12036081535784168,0.5295329257829258,0.1482358801465752,37.0
www.faz.net,-0.03265306122448979,0.17124580834621111,0.07865646258503402,0.24023158158742386,28.0
www.bild.de,0.023076923076923075,0.11766968108291041,0.07307692307692307,0.258546231545064,26.0
www.nzherald.co.nz,0.08507384772090654,0.12246170779429988,0.4590720227484933,0.19775480047641017,17.0
www.morgenpost.de,-0.0265625,0.08439428791887123,0.35,0.4760952285695233,16.0
www.focus.de,0.0,0.0,0.0,0.0,13.0
www.tagesschau.de,-0.016666666666666666,0.05773502691896258,0.049999999999999996,0.1732050807568877,12.0
dailycaller.com,0.03680275974025974,0.1488001487167176,0.4622203282828282,0.20814865801289037,10.0
www.welt.de,0.0,0.0,0.0,0.0,10.0
orf.at,0.0,0.0,0.0,0.0,8.0
www.diepresse.com,0.0,0.0,0.0,0.0,8.0
pypi.org,-0.0859375,0.032346823094172854,0.4453125,0.058224281569511135,8.0
www.n-tv.de,0.028571428571428574,0.07559289460184546,0.08571428571428572,0.22677868380553634,7.0
www.yahoo.com,0.04616281866281867,0.20103175697580283,0.43678296571153713,0.11534613266343395,7.0
slashdot.org,0.08409477427334569,0.13272822638893028,0.3994812925170068,0.1595413033793771,7.0
en.protothema.gr,0.026646374458874467,0.15356392917230458,0.46111050986050983,0.08077777854194486,7.0
www.lifesciencesworld.com,0.05884920634920635,0.1309233613829385,0.5510251322751323,0.09054338362844655,6.0
www.thehindubusinessline.com,-0.039074074074074074,0.16330712815733392,0.4433796296296297,0.1988313399566859,6.0
biztoc.com,0.07549332611832611,0.1741810851141545,0.35920634920634925,0.20446554781154336,6.0
www.rte.ie,-0.015714285714285712,0.1400983619476265,0.23476190476190478,0.24440218146296258,5.0
www.sueddeutsche.de,0.02727272727272727,0.06098367211363062,0.15757575757575756,0.219984138337958,5.0
www.globenewswire.com,0.11863636363636365,0.13197874234039383,0.30912121212121213,0.24572264632393387,5.0
www.thejournal.ie,0.043472222222222204,0.2356140601481715,0.34402777777777777,0.17981257388846605,5.0
bringatrailer.com,-0.06509894867037724,0.059047204433694656,0.21393320964749538,0.16688682317735903,5.0
www.insurancejournal.com,0.09351731601731601,0.10150802952246021,0.39935930735930736,0.12036368824970964,5.0
nypost.com,0.11700529100529103,0.15168534438957482,0.6501772486772487,0.11969902966503902,5.0
timesofindia.indiatimes.com,-0.04230324074074074,0.04814940013507569,0.43049768518518516,0.16570715474156383,4.0
www.mediaite.com,-0.14809573002754822,0.1858837612665731,0.3967768595041322,0.19757564362375246,4.0
www.bostonherald.com,-0.03285804473304473,0.09408575088637897,0.39427444083694085,0.1726271114664311,4.0
www.ibiza-heute.de,0.0,0.0,0.0,0.0,4.0
www.ibtimes.com.au,0.08451607915893629,0.0971735793040606,0.4169867037724181,0.20290670725031615,4.0
www.cbsnews.com,0.033599837662337664,0.16733069831178024,0.321344696969697,0.1724867452420785,4.0
ahouseinthehills.com,0.16281194295900175,0.22639341654165868,0.5368343360071302,0.14275193701644034,4.0
www.nzz.ch,0.0,0.0,0.0,0.0,4.0
indianexpress.com,0.10291666666666667,0.12253778706692585,0.4537103174603175,0.08053198693455361,4.0
sneakernews.com,0.027777777777777776,0.09477067838462212,0.21666666666666667,0.21666666666666667,3.0
www.foxweather.com,-0.021111111111111098,0.1899220112845543,0.45222222222222225,0.18506255198755941,3.0
www.aljazeera.com,-0.12157407407407407,0.35190687922530095,0.5826851851851852,0.12841758097270273,3.0
www.bbc.com,-0.14833333333333334,0.04481443219916253,0.3383333333333334,0.08607167555783571,3.0
twistedsifter.com,-0.02362103174603175,0.09321683393960618,0.5052083333333334,0.03846632643699976,3.0
consent.yahoo.com,-0.03720238095238095,0.084977925805174,0.3362103174603175,0.15996583142693901,3.0
www.cbc.ca,-0.028691678691678695,0.13970933872687838,0.25365560365560363,0.1943104231139205,3.0
abcnews.go.com,0.027461538461538457,0.09873870244714959,0.5577628205128206,0.07348086821136944,3.0
financialpost.com,0.1563973063973064,0.19230578642260482,0.40959595959595957,0.08398277695952962,3.0
taz.de,0.0,0.0,0.0,0.0,3.0
www.dw.com,0.0,0.0,0.0,0.0,3.0
sports.yahoo.com,0.11190476190476191,0.09854381945988037,0.5880952380952381,0.3135001003591068,3.0
gizmodo.com,0.08735479797979799,0.11947638071543601,0.504469696969697,0.11645526399608003,3.0
www.justjared.com,0.15323232323232322,0.012399176334256367,0.3246969696969697,0.021447289476652184,3.0
www.irishtimes.com,-0.005753968253968271,0.20253874567504873,0.36984126984126986,0.13937386980991048,3.0
rollingout.com,-0.10729166666666666,0.2564849024959039,0.5308333333333333,0.19837359535314503,3.0
www.independent.ie,0.27777777777777773,0.0962250448649376,0.27777777777777773,0.0962250448649376,3.0
www.pbs.org,0.11848484848484848,0.05549427290332644,0.518989898989899,0.07517676343549691,3.0
www.ibtimes.com,0.21631313131313132,0.1449499084920015,0.6360437710437711,0.2632780002412136,3.0
www.golem.de,-0.10000000000000002,0.0,0.10000000000000002,0.0,3.0
www.popsci.com,0.21883116883116885,0.26906790504890704,0.45487012987012987,0.010254578861363321,2.0
www.channelnewsasia.com,0.08333333333333333,0.11785113019775792,0.17916666666666667,0.25337992992517955,2.0
www.wsbtv.com,0.01704545454545454,0.024105912994995933,0.3125,0.2062394778460764,2.0
www.theverge.com,0.008333333333333325,0.12963624321753373,0.45,0.07071067811865474,2.0
www.nature.com,0.07589285714285714,0.10732870785867238,0.26116071428571425,0.369337024101902,2.0
www.npr.org,-0.07708333333333331,0.17383041704169294,0.2673611111111111,0.12472577945929379,2.0
www.desertsun.com,0.08437499999999999,0.08396893026590252,0.5427083333333333,0.12227054758017386,2.0
www.denverpost.com,0.018416666666666668,0.021095352305398666,0.45010897435897435,0.11769701718134548,2.0
www.spektrum.de,0.0,0.0,0.0,0.0,2.0
www.digitaljournal.com,0.0528125,0.01811961126790528,0.4483333333333333,0.07306770072260996,2.0
www.politico.eu,0.0,0.0,0.0,0.0,2.0
www.sciencealert.com,0.30972222222222223,0.13945717073401356,0.5041666666666667,0.005892556509887875,2.0
www.sanluisobispo.com,0.055952380952380955,0.17340952014812952,0.3416666666666667,0.1296362432175337,2.0
www.hurriyetdailynews.com,0.10212053571428573,0.027305685969926954,0.518154761904762,0.06271363714094974,2.0
www.kpbs.org,0.05222222222222221,0.010999438818457427,0.5922222222222222,0.06756798131338125,2.0
www.huffpost.com,0.06644444444444444,0.031741237733262796,0.5968888888888889,0.027027192525352437,2.0
weather.com,0.08946127946127946,0.0689012466247094,0.47367003367003363,0.04247402348945456,2.0
